Start Date,Aantal Ritten,Huurtijd
2019-07-04,44176,955430.0
2019-07-05,41968,894239.0
2019-07-06,33545,964654.0
2019-07-07,29510,797375.0
2019-07-08,39267,749670.0
2019-07-09,40842,734408.0
2019-07-10,41935,837668.0
2019-07-11,41499,844583.0
2019-07-12,40922,859518.0
2019-07-13,35750,971871.0
2019-07-14,27514,739034.0
2019-07-15,39063,752044.0
2019-07-16,43035,814655.0
2019-07-17,41586,839993.0
2019-07-18,33892,658348.0
2019-07-19,25347,454061.0
2019-07-20,30961,825385.0
2019-07-21,32832,920861.0
2019-07-22,40450,845686.0
2019-07-23,43684,883194.0
2019-07-24,41869,957907.0
2019-07-25,38869,831544.0
2019-07-26,31185,686603.0
2019-07-27,19734,483913.0
2019-07-28,28957,792429.0
2019-07-29,41009,874699.0
2019-07-30,27045,434795.0
2019-07-31,37886,789532.0
2019-08-01,39396,838808.0
2019-08-02,37834,872711.0
2019-08-03,38877,1303663.0
2019-08-04,33904,976256.0
2019-08-05,33668,698536.0
2019-08-06,38821,728352.0
2019-08-07,37423,746764.0
2019-08-08,40194,901868.0
2019-08-09,30348,621584.0
2019-08-10,25631,626047.0
2019-08-11,29584,823429.0
2019-08-12,29212,550319.0
2019-08-13,38860,777893.0
2019-08-14,18977,293650.0
2019-08-15,37643,851335.0
2019-08-16,23142,414825.0
2019-08-17,28941,803990.0
2019-08-18,23785,635546.0
2019-08-19,32693,606033.0
2019-08-20,38700,726818.0
2019-08-21,37882,748331.0
2019-08-22,37642,761602.0
2019-08-23,35625,773102.0
2019-08-24,30355,874773.0
2019-08-25,30995,957438.0
2019-08-26,32742,942329.0
2019-08-27,36953,715086.0
2019-08-28,36247,691490.0
2019-08-29,37958,774574.0
2019-08-30,36815,735065.0
2019-08-31,30454,803807.0
2019-09-01,29107,753958.0
2019-09-02,34930,620126.0
2019-09-03,36773,604926.0
2019-09-04,33650,587645.0
2019-09-05,36372,647353.0
2019-09-06,31485,539591.0
2019-09-07,27680,633331.0
2019-09-08,27648,697566.0
2019-09-09,29189,459904.0
2019-09-10,36305,573794.0
2019-09-11,35451,613121.0
2019-09-12,37853,653332.0
2019-09-13,36996,706686.0
2019-09-14,34570,910442.0
2019-09-15,33266,916117.0
2019-09-16,32463,528138.0
2019-09-17,38590,623213.0
